Start Date,Campaign Description
2018-06-01,Emma chamberlain brand deal
2018-07-01,Emma chamberlain brand deal
2018-08-01,Emma chamberlain brand deal
2021-11-01,Bretman rock campaign
2021-12-01,Bretman rock campaign
2022-01-01,Bretman rock campaign
2020-06-01,Amber Alexander
2020-07-01,Amber Alexander
2020-08-01,Amber Alexander
