Start Date,Campaign Description
2018-05-22,Emma chamberlain brand deal
2018-06-22,Emma chamberlain brand deal
2018-07-22,Emma chamberlain brand deal
2021-10-21,Bretman rock campaign
2021-11-21,Bretman rock campaign
2021-12-21,Bretman rock campaign
2020-05-13,Amber Alexander
2020-06-13,Amber Alexander
2020-07-13,Amber Alexander
